title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
How Square's new Bitcoin payments could change how merchants accept money online,https://cointelegraph.com/news/how-square-s-new-bitcoin-payments-could-change-how-merchants-accept-money-online,20251114T161507,Dilip Kumar Patairya,"Square's new Bitcoin payments may redefine how merchants accept money online with faster settlement, lower costs and greater financial control.",https://s3.cointelegraph.com/uploads/2025-11/019a8322-548e-7212-8893-e5ce11c3b949,Cointelegraph,n/a,cointelegraph.com,"Finance(1.0), Blockchain(0.890401), Financial Markets(0.360215)",0.265461,Somewhat-Bullish,"COIN(Neutral), FOREX:USD(Neutral), CRYPTO:BTC(Bullish)"
"Czech National Bank tests Bitcoin, crypto reserve with historic $1M buy",https://cointelegraph.com/news/czech-national-bank-tests-bitcoin-crypto-reserve-historic-buy,20251113T152257,Vince Quill,"The Czech National Bank invested $1 million to test a crypto reserve that includes Bitcoin, a stablecoin and tokenized bank deposits.",https://s3.cointelegraph.com/uploads/2025-11/019a7da2-00b1-7e1d-ab35-762efc992bbc,Cointelegraph,n/a,cointelegraph.com,"Economy - Monetary(0.576289), Finance(1.0), Blockchain(0.576289)",0.273403,Somewhat-Bullish,"COIN(Somewhat-Bullish), FOREX:USD(Neutral), CRYPTO:BTC(Somewhat-Bullish)"
